                t, ÷               x, km               y, km               z, km            Vx, km/s            Vy, km/s            Vz, km/s             x_m, km             y_m, km             z_m, km          Vx_m, km/s          Vy_m, km/s          Vz_m, km/s
             -16.839             15392.9              264866             97798.1           -0.177709            0.938879             0.42654            -99336.8            -78334.3              -27514             0.83359            0.827235            0.294064
             -15.839             14752.9              268217             99322.9           -0.177813             0.92294            0.420634              -96425            -75761.7              -26606            0.835249            0.820484            0.291606
             -14.839             14112.8              271512              100827           -0.177788            0.907458            0.414879            -93503.2            -73213.6            -25707.2            0.836945            0.814211            0.289316
             -13.839               13473              274751              102310           -0.177634            0.892416             0.40927            -90571.4            -70688.2            -24817.2            0.838678            0.808399            0.287188
             -12.839               12834              277938              103774           -0.177348            0.877799            0.403803            -87629.2              -68184            -23935.2             0.84045            0.803032            0.285217
             -11.839             12196.3              281072              105218           -0.176928            0.863594            0.398473            -84676.7            -65699.3            -23060.8            0.842262            0.798096            0.283399
             -10.839             11560.3              284156              106643           -0.176369             0.84979            0.393277            -81713.5            -63232.5            -22193.4             0.84412            0.793578            0.281731
              -9.839             10926.6              287191              108050           -0.175666            0.836378            0.388213            -78739.6            -60782.1            -21332.4            0.846028             0.78947             0.28021
              -8.839             10295.7              290178              109438            -0.17481            0.823351            0.383279            -75754.7            -58346.7            -20477.3            0.847995            0.785764            0.278833
              -7.839             9668.16              293120              110809           -0.173791            0.810706            0.378473            -72758.6            -55924.7            -19627.6            0.850029            0.782455              0.2776
              -6.839              9044.6              296016              112163           -0.172598            0.798441            0.373797              -69751            -53514.7            -18782.8            0.852143            0.779542             0.27651
              -5.839             8425.68              298869              113501           -0.171214            0.786558            0.369251            -66731.5            -51115.3            -17942.2            0.854352            0.777023            0.275563
              -4.839             7812.11              301680              114822            -0.16962            0.775062            0.364837            -63699.8            -48724.9            -17105.5            0.856675            0.774905            0.274762
              -3.839             7204.69              304450              116128           -0.167793            0.763961            0.360558            -60655.3              -46342            -16271.9            0.859136            0.773195            0.274111
              -2.839             6604.31              307181              117418           -0.165703            0.753272            0.356421            -57597.7            -43965.2            -15441.1            0.861764            0.771906            0.273613
              -1.839             6011.99              309874              118694           -0.163312            0.743013            0.352432            -54526.1            -41592.9            -14612.4            0.864595             0.77106            0.273277
              -0.839             5428.88              312531              119956           -0.160574            0.733214            0.348603            -51439.7            -39223.3            -13785.1            0.867677            0.770682            0.273112
               0.161             4856.35              315153              121204           -0.157429            0.723914            0.344947            -48337.5            -36854.7            -12958.7            0.871069            0.770812            0.273132
               1.161             4295.98              317744              122440           -0.153799            0.715167            0.341483            -45218.3            -34485.2            -12132.4            0.874848            0.771502            0.273357
               2.161             3749.69              320303              123663           -0.149583            0.707044            0.338237            -42080.5            -32112.5            -11305.5            0.879115            0.772824            0.273811
               3.161             3219.84              322835              124875           -0.144646            0.699647            0.335247            -38922.1            -29734.2              -10477            0.884006            0.774877            0.274531
               4.161             2709.33              325342              126077             -0.1388            0.693115             0.33256            -35740.4            -27347.3            -9645.85            0.889707            0.777801            0.275567
               5.161             2221.88              327827              127270           -0.131785             0.68765             0.33025            -32532.2            -24948.4            -8810.82            0.896478            0.781795            0.276989
               6.161             1762.33              330295              128456           -0.123219            0.683547            0.328423            -29292.9            -22533.1            -7970.32            0.904702            0.787154            0.278904
               7.161             1337.24              332751              129636           -0.112526            0.681261            0.327242            -26016.3            -20095.6            -7122.29            0.914953            0.794333            0.281475
               8.161             955.779              335203              130813          -0.0987834             0.68153            0.326973            -22693.6            -17628.2            -6263.91            0.928156            0.804067            0.284967
               9.161             631.507              337662              131992          -0.0804077            0.685632            0.328078            -19311.6            -15119.5            -5391.11            0.945892            0.817636            0.289843
              10.161             385.865              340147              133178          -0.0544124            0.696022            0.331451            -15849.2            -12551.9            -4497.46            0.971149            0.837491            0.296995
              11.161             256.321              342687              134383          -0.0142979             0.71815             0.33909            -12269.2            -9894.12             -3571.7             1.01042            0.869083            0.308422
              12.161             319.836              345349              135631           0.0578478            0.767527            0.356749            -8495.08            -7081.58            -2590.12             1.08163            0.927921            0.329876
              13.161              795.29              348323              136993            0.243896            0.919995            0.413237            -4308.29            -3922.01            -1481.08             1.26664             1.08985            0.390168
             13.9193             2322.02              352161              138693            -8.60292              5.5333             3.79093             33.1423             79.2833              36.278            -7.58103             5.71032             3.77075
              14.161            -595.108              351509              138685            -2.15498            -0.75248            -0.15128            -1986.97            -516.774            -28.4019            -1.13338           -0.573175           -0.170539
              15.161            -4458.77              350295              138442           -0.211795             0.12429           0.0657445            -2138.89            -1477.32            -497.305            0.808571            0.313043           0.0503042
              16.161            -6549.96              351505              139224            -3.61109            -1.45337           -0.333175            -518.651              20.246             71.2326            -2.59206            -1.25518           -0.344791
              17.161            -9906.16              351148              139363            -1.60762            -4.12499            -1.92172              -164.1            -15.0885             11.6448           -0.590032            -3.91736             -1.9295
              18.161             9359.96              222256             71701.1              7.2965            -47.0162            -24.7056             22811.7             -128552            -67836.5             8.31255            -46.7992            -24.7095
              19.161             35606.7             52893.1              -17256             7.26486            -47.1115            -24.7079             52766.8             -297525             -156966             8.27926             -46.885             -24.708
             20.0027             57341.3            -89970.7            -91877.7             7.12517            -47.1353             -24.573             77621.3             -440034             -231722             8.13811            -46.9009            -24.5699
